Partitioned_Design
Verilog_File,bench_1_Ltop.v
Top_Module,_ic3d_top_
Layer_Number,3


Layer,0
Verilog_file,bench_1_L0.v
Cell_name,Number,Area,Pin,Number-0(f),Power-0(f),Number-100(f),Power-100(f),Number-200(f),Power-200(f)
IN_PAD,5,2000,C,0,0,4,0,1,0
,,,PD,0,0,4,11320,1,5660
bench_1,,,clk1,0,0,0,0,1,0
,,,X0,0,0,1,0,0,0
,,,X34,0,0,1,0,0,0
,,,clk2,0,0,1,0,0,0
,,,X1061,0,0,1,0,0,0
,,,X1,0,0,1,0,0,0
OUT_PAD,1,400,PD,0,0,1,0,0,0
,,,I,0,0,1,19800,0,0


Layer,1
Verilog_file,bench_1_L1.v
Cell_name,Number,Area,Pin,Number-0(f),Power-0(f),Number-100(f),Power-100(f),Number-200(f),Power-200(f)
XOR2X1,6,399,A,0,0,4,63.5,2,63.5
,,,B,0,0,0,0,6,243.15
,,,Y,0,0,0,0,6,0
INVX2,3,75,A,0,0,0,0,3,85.9875
,,,Y,0,0,0,0,3,0
AND2X2,3,150,A,0,0,0,0,3,86.7375
,,,B,0,0,0,0,3,98.325
,,,Y,0,0,0,0,3,0
MX2X2,3,307.5,A,0,0,0,0,3,128.1
,,,S0,0,0,0,0,3,160.1625
,,,Y,0,0,0,0,3,0
,,,B,0,0,0,0,3,143.55
DFFX1,14,1960,Q,0,0,2,0,12,0
,,,D,0,0,2,24.95,12,299.4
,,,DATA,0,0,2,25,12,300
,,,CK,0,0,2,28.0875,12,337.05
DFFX2,9,1575,Q,0,0,2,0,7,0
,,,D,0,0,0,0,9,300.375
,,,DATA,0,0,2,38.6,7,270.2
,,,CK,0,0,2,39.15,7,274.05
XNOR2X1,1,66.5,A,0,0,1,17.575,0,0
,,,B,0,0,0,0,1,45.125
,,,Y,0,0,0,0,1,0
INVX1,15,247.5,A,0,0,0,0,15,215.0625
,,,Y,0,0,0,0,15,0
NAND2X1,1,25,A,0,0,0,0,1,17.075
,,,Y,0,0,0,0,1,0
,,,B,0,0,0,0,1,19.0375
OR4X1,1,50,A,0,0,0,0,1,20.975
,,,C,0,0,0,0,1,26.375
,,,D,0,0,0,0,1,29.1
,,,B,0,0,0,0,1,22.975
,,,Y,0,0,0,0,1,0
NAND4X1,4,166,A,0,0,0,0,4,80.4
,,,C,0,0,0,0,4,107.4
,,,D,0,0,0,0,4,125.05
,,,Y,0,0,0,0,4,0
,,,B,0,0,0,0,4,97
XNOR2X2,2,185,A,0,0,1,30.175,1,60.35
,,,B,0,0,1,44.5,1,89
,,,Y,0,0,0,0,2,0
NOR2X2,4,150,A,0,0,1,16.1625,3,96.975
,,,Y,0,0,0,0,4,0
,,,B,0,0,0,0,4,146.2
OR2X2,1,50,A,0,0,1,14.26875,0,0
,,,Y,0,0,1,0,0,0
,,,B,0,0,1,15.00625,0,0
MX2X1,13,864.5,A,0,0,0,0,13,335.075
,,,S0,0,0,0,0,13,433.225
,,,B,0,0,0,0,13,365.4625
,,,Y,0,0,0,0,13,0
AND4X1,8,400,A,0,0,0,0,8,164.8
,,,C,0,0,0,0,8,199.2
,,,D,0,0,0,0,8,213.3
,,,B,0,0,0,0,8,181.1
,,,Y,0,0,0,0,8,0
AND2X1,11,357.5,A,0,0,0,0,11,220.4125
